Hand,2,3,4,5,6,7,8,9,10,A
5,S,S,S,S,S,H,S,S,S,S
6,H,H,H,S,D,S,S,S,S,S
7,H,H,H,H,S,H,H,S,S,S
8,H,H,D,D,D,H,H,S,S,S
9,D,D,D,H,D,D,H,H,H,H
10,D,D,D,D,D,D,D,D,D,H
11,D,D,D,D,D,D,D,D,D,D
12,H,H,H,S,S,H,H,H,H,H
13,S,S,S,S,S,H,H,H,H,H
14,S,S,S,S,S,H,H,H,H,H
15,S,S,S,S,S,S,S,S,S,S
16,S,S,S,S,S,S,S,S,S,S
17,S,S,S,S,S,S,S,S,S,S
18,S,S,S,S,S,S,S,S,S,S
19,S,S,S,S,S,S,S,S,S,S
20,None,None,None,None,None,None,None,None,None,None
21,None,None,None,None,None,None,None,None,None,None
"A,2",D,D,S,D,D,D,H,D,D,S
"A,3",H,H,D,D,D,D,D,H,D,S
"A,4",S,S,S,S,S,S,S,S,S,S
"A,5",S,S,S,S,S,S,S,S,S,S
"A,6",S,S,S,S,S,S,S,S,S,S
"A,7",S,S,S,S,S,S,S,S,S,S
"A,8",S,S,S,S,S,S,S,S,S,S
"A,9",S,S,S,S,S,S,S,S,S,S
"A,10",S,S,S,S,S,S,S,S,S,S
"2,2",S,S,H,S,H,S,H,S,S,S
"3,3",H,SP,H,H,H,H,S,S,S,S
"4,4",H,SP,D,D,H,H,H,H,H,S
"5,5",D,D,H,D,D,D,D,D,D,H
"6,6",H,S,S,H,SP,S,S,S,H,H
"7,7",H,S,H,SP,SP,SP,H,H,H,H
"8,8",S,S,S,S,S,S,S,S,S,S
"9,9",S,S,S,S,S,S,S,S,S,S
"10,10",S,S,S,S,S,S,S,S,S,S
"A,A",SP,SP,SP,SP,SP,SP,SP,SP,SP,SP
